title,content,date,url
"HD현대, 조선소에 AI 도입 박차⋯휴머노이드 개발도","[아이뉴스24 최란 기자] HD현대가 선박 건조 현장에 인공지능(AI) 등 첨단 기술 도입에 나서며 조선업 혁신에 박차를 가하고 있다.  HD현대는 오는 2030년까지 울산 조선소를 '지능형 자율 운영 조선소'로 구현하기 위한 계획을 추진 중이다. 지능형 자율 운영 조선소는 설계부터 인도까지 모든 공정에 시뮬레이션 검증을 도입해 공정 지연과 사람의 개입을 최소화한다. 회사는 생산성이 30％ 오르고 선박 건조 기간도 30％ 단축될 것으로 기대하고 있다. 김영옥 HD현대 인공지능최고책임자(CAIO)는 14일에도 HD현대 울산조선소를 찾았다고 전했다. 김 CAIO는 ""울산을 자주 가고 있다""며 ""현장에서 경영진을 만나 AI를 어떤 부분에 적용하면 좋을지 의견을 나누고 있다. 공정 생산 유통 설계 등 전 분야에서 AI를 통해 혁신해야한다는 컨센서스가 많다""고 말했다. 그는 ""전방위적으로 많은 고민을 하고 있다. 단순히 한 분야가 아니라 생산 쪽은 물론이고 설계 부문까지 폭넓게 살펴보고 있다""며 ""조선업에서 가장 중요한 건 리드 타임""이라고 말했다. 이어 ""전체 공정을 얼마나 빠르게 마무리하느냐가 중요한데, 이 리드 타임을 줄이는 것이 영업이익이나 비용 절감 측면에서 굉장히 중요한 요소로 작용한다""며 ""그래서 현재는 생산 현장에서 리드 타임을 줄이고 동시에 업무 효율을 높일 수 있는 방법들을 전방위적으로 모색하고 있다""고 덧붙였다. 그는 AI의 이용이 탄소 배출 감소에도 큰 도움이 될 수 있다고 말했다. 그러면서 지난해 개발한 '오션와이즈'를 언급했다. 오션와이즈는 AI를 활용해 선박에 최적의 운항 경로를 제공하는 이른바 '바다용 내비게이션'이다. 출발과 도착 일정, 날씨와 항로, 화물량 등을 분석해 최적의 경로를 추천한다. 김 CAIO는 ""선박은 운항할 때 디젤 연료를 굉장히 많이 사용한다. 예를 들어 울산에서 롱비치까지 항해한다고 하면 연료비만 수십억원에서, 많게는 100억원대에 이를 정도로 비용이 크다""고 설명했다. 그러면서 ""이런 상황에서 연료 사용을 조금이라도 줄일 수 있다면 그것만으로도 탄소 저감에 크게 기여할 수 있다""며 ""현재는 소프트웨어 기반으로 연료를 덜 쓰면서도 효율적으로 항해할 수 있는 최적의 항로를 제공하는 시스템을 개발하고 있고 항만에서 대기 시간을 줄이는 기술도 함께 추진 중""이라고 부연했다. 또 ""대기 시간이 길수록 연료 소모가 많아지기 때문에, 이를 줄이는 것도 탄소 저감과 직결된다. 이처럼 AI와 소프트웨어 기술을 통해 연료 절감과 운영 효율을 동시에 높이는 방향으로 사업을 진행하고 있다""고 말했다. 최근 HD현대는 국내 최초로 조선업에 특화된 AI 기반 용접 휴머노이드 개발을 공식화한다고 밝히기도 했다. 지난 8일 HD현대의 조선·기계 중간지주사인 HD한국조선해양과 자회사 HD현대로보틱스는 AI 휴머노이드 전문기업 '페르소나 AI', 로봇 엔지니어링 기업 '바질컴퍼니'와 '조선 용접용 휴머노이드 개발을 위한 업무협약(MOU)'을 체결했다. 김 CAIO는 ""당장 휴머노이드 로봇을 현장에 투입하는 것은 아니지만 미래 관점에서 계속해 연구하고 개발할 것""이라며 ""AI 등을 통해 생산성을 극대화 뿐 아니라, 사람이 더 효율적이고 안전하게 일할 수 있는 환경을 만들 것""이라고 밝혔다.",2025-05-15,http://v.daum.net/v/20250515073041895
"현대차-사우디 국부펀드 합작, 중동 지역 최초 현대차 생산 거점 구축"," [OSEN=강희수 기자] 현대차와 사우디 국부펀드가 합작한 중동 지역 최초 현대차 생산 거점이 건립된다. 현지시간 14일, 사우디아라비아 킹 살만 자동차 산업단지(King Salman Automotive Cluster)에서 공장 착공식이 열렸다. 이 공장은 현대자동차가 사우디아라비아 국부펀드(PIF, Public Investment Fund)와 협력해 중동 지역에 건립하는 현대차의 생산 거점이다. 이를 통해 현대차는 사우디아라비아 대표 브랜드로 도약하기 위한 기반을 확보하고, 사우디아라비아는 자동차 산업 발전을 위한 중요한 이정표를 마련한다. 현대차 사우디아라비아 생산법인(HMMME, Hyundai Motor Manufacturing Middle East) 부지는 킹 살만 자동차 산업단지 내에 마련됐다. 킹 살만 자동차 산업단지는 사우디아라비아가 자동차 산업 발전을 목표로 킹 압둘라 경제도시(KAEC, King Abdullah Economic City)에 신규 조성한 사우디아라비아 자동차 제조 허브이다. HMMME는 현대차가 30%, 사우디아라비아 국부펀드가 70%의 지분을 보유한 합작 생산법인이며, 2026년 4분기 가동을 목표로 연간 5만대 규모의 전기차 및 내연기관차를 혼류 생산할 수 있는 공장으로 건설된다. 이날 착공식에는 반다르 이브라힘 알코라예프(Bandar Ibrahim Al-Khorayef) 산업광물자원부 장관, 야지드 알후미에드(Yazeed A. Al-Humied) 사우디아라비아 국부펀드 부총재, 문병준 주사우디아라비아 대한민국 대사 대리, 장재훈 현대차그룹 부회장 등 한국과 사우디아라비아 주요 인사와 관계자 200여 명이 참석했다.  야지드 알후미에드 사우디아라비아 국부펀드 부총재는 “HMMME는 사우디아라비아 자동차 산업 발전을 위한 중요한 이정표가 될 것”이라며 “현대차와의 지속적인 파트너십을 통해 사우디아라비아 모빌리티 생태계 성장을 가속화하겠다”라고 말했다. 야지드 알후미에드 부총재는 “현대차와의 협력은 사우디아라비아 자동차 산업의 기술 역량 강화와 우수 인재 육성을 위한 사우디아라비아 국부펀드의 확고한 의지를 입증하는 사례”라고 덧붙였다. 장재훈 부회장은 축사에서 “이번 착공식은 현대차와 사우디아라비아 모두에게 새로운 시대의 시작을 의미한다”라며 “우리는 미래 모빌리티와 기술 혁신의 새로운 장을 열기 위한 초석을 놓을 것”이라고 강조했다. 장재훈 부회장은 “HMMME가 사우디아라비아의 ‘비전 2030’에 부응해 모빌리티 기술 개발 역량을 갖춘 현지 인재 양성 등에도 기여할 수 있기를 바란다”라고 부연했다. 사우디아라비아는 기존 에너지 중심 산업 구조를 제조업, 수소에너지 등으로 다변화하기 위해 국가 발전 프로젝트인 ‘비전 2030’을 추진하고 있으며, 이번 협력은 비전 2030의 핵심 주체인 사우디아라비아 국부펀드가 자동차 산업 강화를 목표로 실행 중인 중점 사업 중 하나이다. 현대차는 사우디아라비아 국부펀드와 함께 현대차의 혁신 제조기술과 사우디의 우수 인재 및 인프라 등을 결합해, HMMME를 사우디아라비아 모빌리티 생태계의 성장과 발전을 가속화하는 핵심 거점으로 구축한다는 계획이다. /100c@osen.co.kr",2025-05-15,http://v.daum.net/v/20250515081318686
"현대차, '중동 최초' 사우디 공장 착공…내년 4분기 가동"," 현대차는 14일(현지시간) 사우디아라비아 킹 살만 자동차 산업단지에 위치한 현대차 사우디아라비아 생산법인(HMMME) 부지에서 공장 착공식을 개최했다고 밝혔다. 킹 살만 자동차 산업단지는 사우디아라비아가 자동차 산업 발전을 목표로 킹 압둘라 경제도시(KAEC, King Abdullah Economic City)에 신규 조성한 사우디아라비아 자동차 제조 허브다. HMMME는 현대차가 30%, 사우디아라비아 국부펀드가 70%의 지분을 보유한 합작 생산법인이며, 내년 4·4분기 가동을 목표로 연간 5만대 규모의 전기차 및 내연기관차를 혼류 생산할 수 있는 공장으로 건설된다. 이날 착공식에는 반다르 이브라힘 알코라예프 산업광물자원부 장관, 야지드 알후미에드 사우디아라비아 국부펀드 부총재, 문병준 주사우디아라비아 대한민국 대사 대리, 장재훈 현대차그룹 부회장 등 한국과 사우디아라비아 주요 인사와 관계자 200여 명이 참석했다. 야지드 알후미에드 사우디아라비아 국부펀드 부총재는 ""HMMME는 사우디아라비아 자동차 산업 발전을 위한 중요한 이정표가 될 것""이라며 ""현대차와의 지속적인 파트너십을 통해 사우디아라비아 모빌리티 생태계 성장을 가속화하겠다""라고 말했다. 야지드 알후미에드 부총재는 ""현대차와의 협력은 사우디아라비아 자동차 산업의 기술 역량 강화와 우수 인재 육성을 위한 사우디아라비아 국부펀드의 확고한 의지를 입증하는 사례""라고 덧붙였다. 장재훈 부회장은 축사에서 ""이번 착공식은 현대차와 사우디아라비아 모두에게 새로운 시대의 시작을 의미한다""며 ""우리는 미래 모빌리티와 기술 혁신의 새로운 장을 열기 위한 초석을 놓을 것""이라고 강조했다. 이어 ""HMMME가 사우디아라비아의 ‘비전 2030’에 부응해 모빌리티 기술 개발 역량을 갖춘 현지 인재 양성 등에도 기여할 수 있기를 바란다""고 덧붙였다. cjk@fnnews.com 최종근 기자",2025-05-15,http://v.daum.net/v/20250515083544281
트럼프 관세폭격에 몰래 웃는 현대차?," 트럼프 미국 대통령이 전 세계에 무차별 관세 폭탄을 떨구고 있다. 현대·기아차가 한국에서 가장 큰 피해를 볼 업체 가운데 하나로 보인다. 갑자기 차값의 25%를 관세로 내야 한다. 트럼프는 관세를 피하려면 미국서 차를 만들라고 한다. 현대차는 심각한 표정으로 그리하겠다고 발표했다. 그런데 자동차 업계에선 현대차가 속으로 웃는다는 이야기가 돈다. 왜 위기에 몰린 현대차가 내심 기뻐한다는 말이 나올까. 한번 따져보자. 공장을 지을 때 가장 중요한 것 가운데 하나가 땅이다. 4월 준공식을 가진 ‘현대차 그룹 메타플랜트 아메리카(HMGMA)’ 공장부지는 얼마일까. 답은 ‘0’원이다. 미국 조지아주가 여의도 면적 4배 크기 땅을 무상임대해줬다. HMGMA 권오충 법인장은 준공식 때 ""지금 10만대를 만들 설비를 가동 중이지만 처음 부지를 잡을 때 50만대도 생산 가능할 수 있도록 여유를 뒀다""고 했다. 자동차를 더 만들기 위해 새로 땅을 찾고 인프라 공사를 할 필요가 없다. 그냥 HMGMA에 추가 생산라인을 후딱 세우면 그만이다. 말하자면 공장부지가 공짜다. 공장 경쟁력을 좌우하는 요소로 전기, 도로, 물 등 인프라와 그 사용료를 든다. 그 대표 격인 전기를 보자. 경제협력개발기구(OECD)는 2023년 기준 미국 산업용 전기요금은 메가와트시(㎿h)당 80.5달러라고 밝혔다. 반면 한국은 122.1달러. 미국보다 51.7% 높다. 또 생산비용에서 가장 큰 몫을 차지하는 것 가운데 하나가 임금이다. 2024년 현대차 노동자 평균 임금은 약 1억2400만원. 2024년 미국 자동차 빅 3 평균임금은 8만4000달러, 약 1억1760만원이다. 아무래도 HMGMA 임금은 빅3보다 적다. 쉽게 말해 임금이 오히려 미국이 더 싸다. 게다가 한국에서 만든 차를 미국에서 팔려면 태평양을 건너야 한다. 만만치 않은 시간, 돈이 든다. 얼핏 봐도 미국에서 차를 더 만들어 파는 것이 현대차에 이익이다. 더 자세히 들여다보면 현대차가 웃는 정도가 아니라 만세를 부르고 있을지도 모른다는 생각이 든다. 미국 공장이 생산성까지 높다. 현대차는 메타플랜트에서 차 10만대를 생산하기 위해 880명이 일한다고 했다. 현대차 울산공장에서는 그 3배가 필요하다. 로봇 등 최신설비 덕분이란 설명이다. 미래를 생각해도 미국 생산이 더 이득일 가능성이 높다. 예를 들어 한국 전기료 등 인프라 비용은 계속 치솟을 가능성이 높다. 원자력발전 사업을 중단한 영향이 크다. 그나마 지금은 한전이 손해를 감수하고 가격을 붙잡고 있다. 하지만 버티는 데도 한계가 있다. 한전 부채는 146조원에 달한다. 결국은 원가를 반영해 전기료를 더 올릴 수밖에 없다. 교통 인프라도 마찬가지. 경부고속도로 1㎞를 깔 때 들어간 비용은 1억원이다. 지금은 고속도로 1㎞를 만들 때 들어가는 비용이 300억원이 넘는다. 조지아주는 고속도로를 공장 앞까지 끌어당겨 놓았다. 나아가 공장 근처에 신공항을 세우겠다고 발표했다. 2007년 문을 연 무안공항 공사비가 3000억원이었다. 지금 공항을 만들려면 조 단위 돈이 필요할 것이다. 한국에서 아무리 큰 공장을 지어도 이런 대우를 기대하기는 힘들다. 사실 현대차는 과거부터 미국에서 자동차를 더 많이 만들고 싶었다. 예를 들어 2019년과 2021년 팰리세이드를 미국에서 생산하려고 했지만, 노조 반대로 고배를 마셨다. 하지만 이번엔 노조가 미국 공장 증설을 막을 명분이 없어 보인다. 정의선 회장은 HMGMA 준공식에서 ""현대차그룹은 단지 공장을 짓기 위해 이곳에 온 게 아니라, 뿌리를 내리기 위해 왔다""고 했다. 현대차는 미국에 뿌리를 내리고 더 높게 올라갈 수 있다. 하지만 대형 제조업체가 해외로 나가면 수출로 먹고사는 주식회사 대한민국은 뿌리가 흔들린다. 이제 노조가 아니라 정부가 뭔가 대책을 내놔야 한다. 백강녕 IT스페셜리스트 young100@asiae.co.kr",2025-05-16,http://v.daum.net/v/20250516120042938
"전북 현대, 'JB Homies; 너×나 = 우리' 브랜드 컬래버레이션 프로젝트 실시","  [인터풋볼] 박윤서 기자 = 전북현대모터스FC(이하 전북현대)가 브랜드 컬래버레이션 프로젝트를 실시한다. 전북현대가 국내 대표 브랜드와 함께 '친한 친구'를 뜻하는 'Homies(호미스)'를 이번 프로젝트 타이틀에 적용해 'JB Homies; 너 × 나 = 우리' 이름으로 컬래버레이션 아이템을 개발했다. 전북현대는 구단 굿즈를 통해 팬심을 적극 표현하는 젊은 스포츠 팬들의 트렌드를 반영해 라이프 스타일에 전북현대를 적용한 '무신사 전주성 티셔츠'와 '테라 전북현대 에디션' 상품을 출시한다. 먼저 '무신사 전주성 티셔츠'는 국내 최대 패션 플랫폼 무신사가 전북현대 홈구장인 전주성을 그래픽 디자인해 제작한 티셔츠다. '무신사 전주성 티셔츠'는 오는 19일(월) 오전 11시 무신사 전북현대모터스FC 브랜드숍을 통해 단독 판매하며 수량은 블랙과 화이트 각각 100장씩 한정 판매한다. 두 번째 아이템으로 하이트진로와 협업해 제작된 '테라 전북현대 에디션'은 전북현대 유니폼 배번에 적용된 도트 그래픽을 맥주 캔에 디자인해 만든 맥주다. 특히 전북현대와 테라는 시그니처 컬러가 녹색으로 동일해 디자인의 조화가 더욱 어우러져 성인 팬들의 많은 사랑을 받을 것으로 보인다. '테라 전북현대 에디션'은 24만 캔 한정 수량으로 제작되며 오는 21일(수)부터 전라북도 내 중심의 대형마트와 중소형 마트에서만 구매가 가능하다. 전북현대 이도현 단장은 ""이번 프로젝트로 전북현대가 팬들의 라이프 스타일에 더욱 가까이 다가가는 좋은 계기가 될 것""이라며 ""팬들이 더 다양하고 많은 곳에서 전북현대의 브랜드를 접하고 경험할 수 있도록 지속적인 노력을 하겠다""고 말했다.  ",2025-05-16,http://v.daum.net/v/20250516140632185
"장재훈 현대차 부회장 ""국내투자 위축 없다…사우디 영향력 커"""," 현대차는 이날 사우디아라비아 킹 살만 자동차 산업단지에 위치한 현대차 사우디아라비아 생산법인 부지에서 공장 착공식을 개최했다. 장 부회장은 ""글로벌로는 성장이 제일 우선적이라고 보고 있다""면서 ""국내에도 지속적인 투자를 더 할 생각""이라고 말했다. 장 부회장은 ""예를 들어 그룹 차원에서 올해 약 25조원 정도의 전체 투자 계획을 갖고 있다""면서 ""굳이 미국과 비교한다면 4년 동안 31조원 투자를 발표한 부분이 있다""고 설명했다. 이어 ""전체적인 방향은 모빌리티 부분 뿐만 아니라 앞으로도 저희가 해야 될 확장 영역에서 인공지능(AI), 로보틱스, 에너지 등도 지속적으로 해 나갈 생각""이라고 덧붙였다. 사우디아라비아 현지공장의 대해선 의미가 크다고 했다. 사우디아라비아는 중동 최대 자동차 시장이다. 장 부회장은 ""사우디아라비아는 GCC(걸프협력회의) 국가 중 가장 큰 영향력을 가진 시장이며, 향후 북아프리카까지 시장 확장이 가능하다""고 했다. 또 ""자동차 산업에 대해서 사우디아라비아 정부가 상당한 관심을 갖고 있다""면서 ""저희 말고도 두 개 업체가 거의 비슷한 시점에 자동차 산업에 같이 진입을 하게 되는데 이러한 태동기에서 우리의 역할도 분명하리라 본다""고 강조했다. 한편, 이날 착공식에는 반다르 이브라힘 알코라예프 산업광물자원부 장관, 야지드 알후미에드 사우디아라비아 국부펀드 부총재, 문병준 주사우디아라비아 대한민국 대사 대리, 장재훈 현대차그룹 부회장 등 한국과 사우디아라비아 주요 인사와 관계자 200여명이 참석했다. HMMME는 현대차가 30%, 사우디아라비아 국부펀드가 70%의 지분을 보유한 합작 생산법인이며, 내년 4·4분기 가동을 목표로 연간 5만대 규모의 전기차 및 내연기관차를 혼류 생산할 수 있는 공장으로 건설된다. cjk@fnnews.com 최종근 기자",2025-05-15,http://v.daum.net/v/20250515090751486
"전북현대 티셔츠 입고, 전북현대 맥주 마시기…'JB Homies; 너x나=우리' 브랜드 컬래버레이션"," [풋볼리스트] 김희준 기자= 전북현대가 브랜드 컬래버레이션 프로젝트를 실시한다. 16일 전북은 보도자료를 통해 ""국내 대표 브랜드와 함께 '친한 친구'를 뜻하는 'Homies(호미스)'를 이번 프로젝트 타이틀에 적용해 'JB Homies; 너 × 나 = 우리' 이름으로 컬래버레이션 아이템을 개발했다""라고 밝혔다. 전북은 구단 굿즈를 통해 팬심을 적극 표현하는 젊은 스포츠 팬들의 트렌드를 반영해 라이프 스타일에 전북을 적용한 '무신사 전주성 티셔츠'와 '테라 전북현대 에디션' 상품을 출시한다. 먼저 '무신사 전주성 티셔츠'는 국내 최대 패션 플랫폼 무신사가 전북 홈구장인 전주성을 그래픽 디자인해 제작한 티셔츠다. '무신사 전주성 티셔츠'는 오는 19일 오전 11시 무신사 전북현대모터스FC 브랜드숍을 통해 단독 판매하며 수량은 블랙과 화이트 각각 100장씩 한정 판매한다.   두 번째 아이템으로 하이트진로와 협업해 제작된 '테라 전북현대 에디션'은 전북 유니폼 배번에 적용된 도트 그래픽을 맥주 캔에 디자인해 만든 맥주다. 전북과 테라는 시그니처 컬러가 녹색으로 동일해 디자인의 조화가 더욱 어우러져 성인 팬들의 많은 사랑을 받을 것으로 보인다. '테라 전북현대 에디션'은 24만 캔 한정 수량으로 제작되며 오는 21일부터 전라북도 내 중심의 대형마트와 중소형 마트에서만 구매가 가능하다. 이도현 전북 단장은 ""이번 프로젝트로 전북현대가 팬들의 라이프 스타일에 더욱 가까이 다가가는 좋은 계기가 될 것""이라며 ""팬들이 더 다양하고 많은 곳에서 전북현대의 브랜드를 접하고 경험할 수 있도록 지속적인 노력을 하겠다""라고 말했다. 사진= 전북현대 제공",2025-05-16,http://v.daum.net/v/20250516150600861
"""압구정=현대""…현대건설, 압구정 입찰 앞두고 터줏대감론 부각"," (서울=연합뉴스) 권혜진 기자 = 내달 압구정 2구역 재건축 시공사 선정을 위한 입찰 공고를 앞두고 현대건설이 '압구정 터줏대감론'을 펼치며 조합 공략에 나섰다. '압구정 현대' 등 압구정과 현대건설의 연고 및 역사성을 보여주는 상표권 출원 사실을 공식적으로 알리면서 홍보전에 나선 것이다. 현대건설은 12일 '압구정 현대', '압구정 現代', '압구정 현대아파트', '압구정 現代아파트' 등 총 4건의 상표권을 출원하고 우선 심사를 진행하고 있다고 밝혔다. 현대건설의 상표권 출원은 업계에 널리 알려졌으나 이번에 보도자료를 내고 상표권 출원 사실을 공식화한 것이다. 현대건설은 ""대형 법무법인을 선임하고 관련 절차를 밟고 있다""면서 ""이는 압구정 현대아파트의 명칭이 무단 사용되거나 혼용되는 것을 방지하고, 대체 불가능한 역사와 자산을 계승하기 위한 조치""라고 설명했다. 나아가 상표권 등록 이후 명칭에 대한 권리를 조합이 활용할 수 있도록 하는 방안을 검토 중이라고 덧붙였다. 고급 주거 단지의 대명사격인 '압구정 현대'의 상표권을 출원함으로써 '압구정 터줏대감'인 현대건설의 수주 당위성을 강조하려는 것으로 풀이된다. 실제로 압구정2구역은 5층 아파트가 주를 이루던 1970년대 현대건설이 착공해 획기적인 설계와 첨단 시공기술, 선진공법 등을 선보이며 본격적인 아파트 시대의 포문을 열었다는 평가를 받고 있다. 2조4천억원에 이르는 사업비로 올해 정비사업 대어로 손꼽히는 압구정 2구역 재건축에는 국내 건설사 1, 2위를 다투는 삼성물산과 현대건설이 수주 의지를 밝힌 상태다. 두 건설사는 올해 초 서울 용산 한남4구역 재개발 수주를 두고도 경합을 벌였으며 현대건설은 수주 실패를 만회하기 위해 이번에는 압구정 현대 브랜드와 역사성을 부각하면서 바람몰이를 시도하는 모습이다. 현대건설은 앞서 기존의 압구정 재건축 수주를 위한 TF팀을 '압구정재건축영업팀'으로도 확대 개편했다. 현대건설 관계자는 ""시대와 역사를 대표하는 명칭은 단순한 이름을 넘어 본질적 가치와 궤적을 담은 '정신'의 일부""라며 ""현대건설은 '압구정 현대'라는 불변의 정체성을 계승할 수 있는 유일한 기업으로서 반세기 연혁의 정통성을 철저히 지켜낼 것이며 그 위에 압구정 현대의 새로운 시대를 열어갈 것""이라고 밝혔다. lucid@yna.co.kr ▶제보는 카톡 okjebo",2025-05-12,http://v.daum.net/v/20250512114331404
"[단독] 판매실적·시장점유율·주가 '빨간불'에...현대차, 인도에 실사단 급파"," 16일(현지시간) 현지 언론에 따르면 현대차는 최근 판매, 마케팅, 재무, 상품개발 등 다양한 부서에서 구성된 실사단을 파견해 인도 법인 사업 점검에 나선 것으로 파악됐다. 업계에서는 현대차 임원들의 인도 방문이 드문 일이 아니지만, 부서 간 협업팀이 한꺼번에 구체적인 시장 경쟁 현황을 점검하기 위해 파견된 것은 이번이 처음이란 반응이다. 인도 경제매체 이코노믹타임즈(ET)는 한 소식통을 인용해 ""현대차 본사는 마힌드라 등 현지 브랜드에 대한 선호 증가를 면밀히 주시하고 있다""라고 전했다. 현대차는 인도시장에 2025 회계연도 기준 점유율이 14%로 2013 회계연도 이후 가장 낮은 수준을 기록했다. 현대차는 오랫동안 마루티 스즈키에 이어 인도 승용차 시장 2위를 유지해왔으나, 현재 그 지위마저 위협받고 있다. 특히 인기 스포츠유틸리티차량(SUV) 모델 '크레타'가 선전했음에도 불구하고, 현대차는 지난 2월 한때 3위로 내려앉았다. 이후 3월에 다시 2위를 회복한 뒤 4월에는 마힌드라와 타타에 밀려 4위로 하락했다. 올해 회계연도 기준 2위를 유지하고는 있지만, 경쟁 심화로 인해 이 지위는 점점 더 불안정해지고 있다. 4월 판매 실적도 부진하다. 총 출하량은 전년 동기 대비 4.6% 감소한 6만0774대를 기록했으며, 이 가운데 국내 판매는 11.6% 감소한 4만4374대를 나타냈다. 같은 기간 마힌드라는 5만2330대, 타타는 4만5199대를 판매해 현대차를 앞섰다. 소매 판매에서도 현대차는 4만5350대로 마힌드라(4만7800대), 타타(4만6000대)에 뒤처졌다. 2025 회계연도 기준으로는 마루티 스즈키가 40%의 시장 점유율로 선두를 지켰으며, 현대차가 2위, 마힌드라가 13%로 3위를 차지했다. 시장 점유율 하락에 대한 내부 우려는 호세 무뇨스 현대차 최고경영자(CEO)의 첫 인도 방문 중에도 드러났다. 무뇨스 사장은 타운홀 미팅에서 인도 시장의 전략적 중요성을 강조하며 빠른 성장을 주문한 것으로 알려졌다. 타룬 가르그 현대차 인도법인의 최고운영책임자(COO)는 ET에 ""점유율 하락은 고기저효과, 제품 수명 주기, 신규 진입자와의 경쟁 격화 등이 복합적으로 작용한 결과""라고 설명했다. 그는 이어서 마하라슈트라 주 탈레가온에 건설 중인 새로운 공장이 올해 하반기 가동될 예정이라며, 이 공장이 국내외 수요 대응에 큰 도움이 될 것이라고 밝혔다. 현재 타밀나두 스리페룸부두르에 위치한 기존 공장은 가동률이 90%를 초과한 상태다. rejune1112@fnnews.com 김준석 기자 , 프라갸 아와사티 통신원",2025-05-16,http://v.daum.net/v/20250516201726262
"“채용 늘리고, 계열사 기술진 현지 집결”…현대차그룹, 美 HMGMA 캐파 확대 속도전 [비즈360]"," [헤럴드경제=서재근 기자] 현대자동차그룹이 미국 현지화 전략을 위한 전초 기지로 설립한 ‘현대자동차그룹 메타플랜트 아메리카(HMGMA)’의 캐파(생산능력) 확대 작업에 속도를 내고 있다. 17일 완성차 업계에 따르면 현대모비스·현대글로비스·현대제철·현대트랜시스 등 현대차그룹 4개 계열사는 각 분야 핵심 기술진을 현지에 보내 시스템 안정화 테스트를 진행하는 등 막바지 담금질에 돌입했다. 미국 조지아주 엘라벨에 위치한 HMGMA는 북미 시장 내 경쟁력을 제고하기 위해 조성한 그룹의 전략적 생산 기지다. 앞서 지난 3월 준공식을 개최한 현대차그룹은 HMGMA 중심으로 그룹 계열사·합작사·협력사와 연계해 미래차 클러스터를 구축하고 있다. 현대모비스의 경우 최근 HMGMA의 본격적인 운영을 앞두고 배터리관리시스템(BMS) 등 전동화 기술 관련 개발 실무 및 책임자들이 미국 출장길에 올랐다. 이들은 이르면 다음 달 중순에서 오는 7월 초까지 배터리 시스템(BSA)과 PE 시스템 등 전동화 핵심 부품 생산 안정화 테스트를 진행할 것으로 알려졌다. 지난해 10월부터 HMGMA 부지 내 두 번째 전기차 전용 부품 공장을 가동 중인 현대모비스는 글로벌 생산 거점 가운데 최대 규모인 연간 30만 대의 BSA 및 부품 모듈을 생산해 HMGMA로 공급한다. BSA는 배터리팩, BMS 등으로 구성된 전기차 핵심 부품이다. 시트와 이를 지지하는 시트 프레임 등을 HMGMA에 조달하는 현대트랜시스도 향후 늘어날 완성차 생산 물량에 맞춰 부품 생산에 차질이 없도록 시스템을 정비하는 등 만전을 기하고 있다. 이곳에서 현대트랜시스가 생산하는 시트 물량은 연간 42만대 규모다. 아울러 현대차그룹은 HMGMA의 연산 규모를 기존 30만대에서 50만대까지 확대, 미국 현지 생산 비중을 70%대까지 확대하는 것을 골자로 한 현지화 전략을 속도감 있게 실행하기 위해 현지 채용에 적극 나서고 있다.  이날 HMGMA 채용 홈페이지를 확인한 결과 62개의 채용 공고가 게재돼 있다. 특히 이달에만 생산, 유지·보수, 인사는 물론 로봇 소프트웨어(SW) 및 법률·환경 전문가 등 45개의 채용 공고가 올라왔다. 업계에서는 HMGMA를 통해 약 8500개의 일자리가 새로 만들어질 것으로 내다보고 있다. 조지아주도 일자리 창출에 따른 소득 공제, 재산세 감면 등 여러 인센티브를 단계별로 제공하는 등 HMGMA의 성공적인 운영을 위한 지원에 나서고 있다. 한편, 현대차그룹은 현대차 앨라배마 공장(HMMA), 기아 조지아 공장(KaGA)에 이어, 조지아주에 미국 내 세 번째 생산거점인 연산 30만 대 규모의 첨단 기술 기반 스마트 팩토리 HMGMA를 구축하기로 결정하고 지난 2022년 10월 첫 삽을 떴다. HMGMA는 지난해 10월 아이오닉 5 생산을 개시했고, 올해 3월 현대 전동화 플래그십 SUV 모델 아이오닉 9 양산에 돌입했다. 내년에는 기아 모델도 추가 생산 예정이며, 향후 제네시스 차량으로 생산 라인업을 확대해 나갈 계획이다. 아울러 미국 시장 소비자들의 다양한 친환경차 수요를 충족시키기 위해 혼류 생산 체제 도입, 전기차뿐만 아니라 하이브리드 차종도 내년에 추가 투입할 계획이다. HMGMA 준공으로 미국 생산 100만 대 생산체제를 구축하게 된 현대차그룹은 추가로 향후 20만 대를 증설해 120만 대 규모로 확대한다는 계획이다. ",2025-05-17,http://v.daum.net/v/20250517110017643
